quakecon clan counts as of 08/02/2015 15:14
     B52-19 20k
     B52-21 Bonestorm
     B52-22 Victron
     B53-15 AVHero
     B53-16 The Comeback Kid
     B53-17 The Cheat
     B53-18 Pejah
     B53-19 MelMar
     B53-20 Noobits
     B53-21 Reserved
     B53-22 Moses
UTA --- 13
     C51-07 Deathoflegends
     C53-11 DJ SnowCone
     C54-02 Yuuj
     C54-03 Aethum
     C54-04 HakuJounin
     C54-05 Drakke
     C54-06 Hawk
     C54-10 TheTuringMachine
     C54-11 rare meme
     C54-12 Baldorias
     C55-02 Animechrono
     C55-03 Nehemael
     C55-06 Shadow_Smile
V1 Tech --- 13
     A05-10 DirtySouth PCs
     A06-08 Redstriker
     A06-10 Red Harbinger
     A07-03 Qain
     A07-07 Chef Bobert
     A07-08 FilipinoAmigo
     A07-09 CzarTurian
     A07-10 Complx
     A08-07 Michael
     A08-08 V1 Alchemist
     A08-09 HolyAssertion
     A09-01 Harbinger
     A71-10 Young Dobbs
PWNS --- 12
     A17-05 Tasiv
     A17-06 Chump McMonkey
     A17-07 FajitaMeatPete
     A17-08 aradatad
     A17-09 OuchIAteMyself
     A17-10 Eyerule
     A18-05 Wererat
     A18-06 Connor03
     A18-07 Antomi
     A18-08 megabytemike
     A18-09 Sparhax
     A18-10 Nafei
SLAM --- 12
     A70-03 Flipside
     A70-04 Brosephski
     A70-05 Jingo Joe
     A70-06 Hemlock
     A70-07 Vernum
     A70-08 Food Stamps
     A71-02 Jbiggles
     A71-03 JakeboySnakeman
     A71-04 Mystery Sock
     A71-06 EazyBreezy
     A71-08 Reserved
     A71-09 Reserved
Team BOB --- 12
     C33-06 ForuneCookie
     C33-07 Tr1ckm0nk3y
     C33-08 PTRx2
     C33-09 Lord Reptar
     C33-10 Drexpert
     C33-11 LinkSiss
     C33-12 Sirhutson
     C34-06 Lykos
     C34-08 Elesn
     C34-09 Veo
     C34-11 WuFame
     C34-12 Kraden
WDZ --- 12
     C41-01 c0nn3ct3d
     C41-02 Beat_Elite
     C41-03 WDZJester
     C41-04 Murx
     C41-05 JustinDJG
     C41-06 Ryan
     C42-01 Sexy Turnip
     C42-02 Freak
     C42-03 Slats
     C42-04 Spork
     C42-05 Science
     C42-06 Dr. Ibliß
no muff too tuff --- 12
     A15-06 Colin
     A17-03 SyphonX
     A18-03 F4RT
     A20-01 54m50n
     A20-02 gingerbreadassassin
     A20-03 HottRodd
     A20-04 Electrolight
     A20-07 leesauce
     A21-01 GuyMcAwesome
     A21-02 5yrup
     A21-03 B00
     A21-04 tky
Lord's Force --- 11
     A64-01 AquaneerSupreme
     A64-02 Lunchboxbeard
     A64-03 PsychicHandjob
     A64-04 Nosferatu919
     A64-05 Kadoba
     A64-06 Lambanate
     A65-01 Hustle Bones
     A65-02 JunoLazerlove
     A65-03 Pedophile Dundee
     A65-04 Hyper Buns
     A65-05 Russell
SFN --- 11
     A11-06 KingDong
     A11-07 Wink4Me
     A11-08 Mike_Knight
     A11-09 Och4
     A11-10 DOHCDragon
     A12-05 highlander
     A12-06 MAYDAY
     A12-07 Run_Silent
     A12-08 SecretSquirl
     A12-09 Reserved
     A12-10 whiterice
Spacegutter Squad --- 11
     B61-14 a32warlock
     B64-14 schlort
     B64-18 Swizz
     B64-19 Reserved
     B64-20 sasskuatch
     B64-21 DharmaPunk
     B64-22 Cheshire Cat
     B65-18 Ettun
     B65-20 contrabandit
     B65-21 electronbabies
     B65-22 WadeofHonor
bmBros --- 11
     A21-05 Chewytheshark
     A21-06 Branana
     A21-07 Youngshlab
     A21-08 Jonston
     A21-09 Onyx
     A21-10 Mojokojo
     A22-03 McCoy
     A22-06 Smoochie Wallace
     A22-09 Zero-PAiN
     A22-10 Hippo
     A23-03 biggypanks
DH --- 10
     B30-01 Iknowurcheating
     B30-02 cereal 0
     B30-03 CheeZ
     B30-06 Frogzombie
     B30-07 Burson
     B30-08 S1deffect
     B30-11 L33T5ON
     B31-02 Kainzo
     B31-06 Bleak
     B31-09 Apoth
FortLAN --- 10
     A09-08 s_mason16
     A10-01 BIG-SPENCE
     A10-03 friskydragon
     A10-04 Vesuvan
     A10-05 DarkRetribution
     A10-06 NickWic
     A10-07 ChaosClay
     A10-08 User
     A10-09 twodavez
     A10-10 jj_Sky5000
NaCl --- 10
     B58-06 Defeated1
     B58-07 Sinbien
     B58-08 Grimm
     B58-09 DEATHDEALER
     B58-10 Crisk_88
     B59-07 qtipdoom
     B59-08 that1guy44
     B59-09 IIVindicationII
     B59-10 NeonEquiNoX
     B59-12 cbalnites
Space Narwhals --- 10
     B14-17 Wamo
     B14-18 Jbro
     B14-19 Rolf
     B14-20 Milites
     B15-16 aggiejedi
     B15-17 Flye
     B15-18 Shatti
     B15-19 I Has A Hat
     B15-20 Hapless
     B15-21 Juukka
Wii Players Club --- 10
     C57-08 Ragtag21
     C57-09 Apceros
     C57-10 Fangorn
     C57-11 Candyman
     C57-12 UltPotatoe
     C58-08 Slater
     C58-09 Hammersticks
     C58-10 Amputect
     C58-11 Reserved
     C58-12 Pambeazley
(_(_)BUTT --- 9
     C12-01 Hugh Janis
     C12-02 JakefuxFlo
     C12-03 Danila Spaghetti
     C12-04 StabbyMcKill
     C12-05 Alvl99Selby
     C12-07 (_(_)Masterchops
     C12-08 GeneralJones
     C12-09 spartan5811
     C13-03 Mc butter
1S2L --- 9
     C59-04 LegendaryGinger
     C59-05 Lokiandra
     C59-06 PinkkTaco
     C59-07 AverageSandwich
     C60-04 Reserved
     C60-05 Leomear
     C60-06 Runoeh
     C60-07 ApokalypticNERD
     C60-08 Asteromeda
ASr --- 9
     B28-03 Murphshizzle
     B28-04 smerf
     B28-05 lenarschnitzel
     B28-06 Brittzkrieg
     B28-07 Varlo
     B29-05 Neozilla
     B29-06 Dynas
     B29-07 Ryanheim
     B29-08 Ropps
BUTTHUT --- 9
     B56-13 Rocky
     B56-14 BrainSurgeon
     B56-15 Dinobutt
     B56-16 Nine Asses
     B56-17 AryanBarbarian
     B57-13 LordPriapus
     B57-14 SrapeGoda
     B57-15 PenalAffliction
     B57-17 Sensual Lumberjack
Cracked-Ice --- 9
     C43-04 [C-I] FL0WL0W
     C43-05 [C-I] Titonator102
     C43-06 [C-I]car6on
     C43-07 [C-I] Brianson
     C43-08 [C-I] Lankovich
     C43-09 [C-I] BukZacH
     C43-10 Kremmel
     C43-11 [C-I] SHL0M0
     C43-12 [C-I] Chesty
CyberPolice --- 9
     B19-14 msgoodbar
     B19-15 Sinketo
     B20-14 BananasWithAppeal
     B20-15 seak
     B20-16 Yungtaekim
     B20-17 seventhlance
     B20-18 Junklove
     B20-19 Sharp
     B20-20 Wizard
East Texas Nubs --- 9
     B59-19 G-Man
     B59-20 Stormbr1nger
     B59-21 Cr0W
     B59-22 JediSpam
     B60-18 g00se
     B60-19 Biggity
     B60-20 shadow_kick
     B60-21 Lewtron
     B60-22 VikingBadger
FSLAN --- 9
     A16-02 Spankolli
     A16-03 Bullet Magnet
     A16-04 Cypher
     A16-05 MvN_Touk
     B11-13 Raspberry
     C14-04 BitKiller
     C14-11 Ex1le
     C14-12 serveux
     C15-09 Lightbringer
Hammered --- 9
     A72-01 Niphim
     A72-04 Frustrated
     A73-01 Dreyhna
     A73-02 Tzitzmitl
     A73-03 cataract
     A73-04 icen1n3
     A73-05 Bishizel
     A73-06 Dette
     A73-07 JVV
Kato --- 9
     A02-01 Wipeout
     A02-02 Fiction
     A02-03 Conan
     A02-04 Suic1deTM
     A02-05 Alysscock
     A02-06 JillJillJill
     A02-08 ericpp
     A02-09 X-Zippy-X
     A02-10 Freedom
Prosper --- 9
     B67-14 Sadboys
     B67-15 Pooky
     B67-16 Beaz
     B67-17 austEn
     B67-18 BC
     B67-19 Alethium
     B67-20 bchuck
     B67-21 Mr.Brown
     B67-22 Griffin
Space Potatoes --- 9
     C59-08 Rheapre
     C59-09 JacksApples
     C59-10 madscientist
     C59-11 Edgar Allen Bro
     C59-12 bysmitty
     C60-09 Turtool85
     C60-10 rainfay
     C60-11 Jaclyninthebox
     C60-12 ZeroGuardian
Techit --- 9
     C31-03 fakebritishguy
     C32-01 Jewrrick
     C32-02 Pelvic_Sorceress
     C32-03 Xpolicy
     C32-04 Dynamite149
     C32-06 JethroBoom
     C32-07 Zomb
     C32-08 D281knilb
     C32-09 PossumJenkins
The Booty Alliance --- 9
     C25-08 santabomb5
     C25-09 Teeto Puentes
     C25-10 Teal Spectre
     C25-11 Ginox
     C26-08 ELCHINGONXIII
     C26-09 The Booty Wariuh
     C26-10 ThePinkBluR
     C26-11 The Deekinator
     C26-12 Harden
Tudd Fudders Fan Club --- 9
     B68-02 dflaa
     B69-01 MwThink
     B69-02 sanicxx
     B69-03 the Brayn
     B69-06 Milkbone911
     B70-05 Dragon1569
     B70-06 DJ9123
     B70-10 Tudd Fudders
     B70-11 SRJarhead
[Tek Syndicate] --- 9
     A34-01 NJM1112
     A34-03 Commissar
     A34-04 BioBandit
     A34-05 imaximus
     A34-06 Monica_Explosion
     A34-07 PerfectAgent007
     A34-08 LarryTek7
     A34-09 Brendon
     UAC-31 DANGEROUSGIRL
zzz --- 9
     C30-04 Reserved
     C30-05 Reserved
     C30-06 Afro
     C31-04 Reserved
     C31-05 Chriscool
     C31-06 Kost
     C31-07 Reserved
     C31-08 Reserved
     C31-09 Reserved
=HPSF= --- 8
     B08-18 aznp00n
     C28-01 rmp00n
     C28-02 Nazp00n
     C28-04 kups
     C29-01 1818
     C29-02 MurderTrain
     C29-03 DrunkBus
     C29-04 TheGuy
BAP --- 8
     A15-07 Shooty McDiesAlot
     A22-04 Atomsk
     A22-05 Bandito
     A22-07 TonyPerkis
     A23-04 hpux
     A23-05 Funran
     A23-06 HardwareGuy
     A23-07 jittles
Blood Royals --- 8
     A58-03 Areadne
     A58-04 Finrus
     A58-05 Hoshikuro
     A58-06 MOwens86
     A59-03 Kazarak
